ID,Material_Alias,A5,Bhn,HV,Desc,Su,Sy,E,G,mu,Ro,pH,Use
8FA9F4D20A8C4EECB7BAFF960DC7283B,BS BS 50D,20.0,217.0,230.0,Structural steel,490.0,355.0,206000,80000,0.3,7860,1300.0,True
3E70C0D41B894904937B577F2A82711A,BS BS CFS8NBK,18.0,217.0,230.0,Structural steel,540.0,340.0,206000,80000,0.3,7860,1300.0,False
500F402474A14F549BE14D6B3E046111,BS BS CEW5BK,4.0,217.0,230.0,Structural steel,600.0,480.0,206000,80000,0.3,7860,1300.0,False
D974FBBAF91F4404B3EE6F467D22396D,BS BS 55C,19.0,217.0,230.0,Structural steel,550.0,430.0,206000,80000,0.3,7860,1300.0,False
A343C36BE2644119AE9A1006816D700E,BS BS 55E,19.0,217.0,230.0,Structural steel,550.0,430.0,206000,80000,0.3,7860,1300.0,False
E734157F9FBD4939AFF3341432BAEB1A,BS BS 070M26,20.0,217.0,230.0,Heat-treatment steel,490.0,245.0,206000,80000,0.3,7860,1300.0,False
F2EF47866E394D26B4F475D7F3268AC3,BS BS 080M30,18.0,217.0,230.0,Heat-treatment steel,550.0,310.0,206000,80000,0.3,7860,1300.0,False
2865648283A7480CA34BD5B0EC5D8785,BS BS 080M36,16.0,217.0,230.0,Heat-treatment steel,625.0,370.0,206000,80000,0.3,7860,1300.0,False
AE1BF9864AEA43DABAE352F9F30A1E94,BS BS 080A35,16.0,217.0,230.0,Hardening steel,625.0,370.0,206000,80000,0.3,7860,1300.0,False
01EBF32EDED24F6D9DCB9E123851857B,BS BS 080M40,16.0,217.0,230.0,Heat-treatment steel,625.0,355.0,206000,80000,0.3,7860,1300.0,False
DE550B472460410299C1E22E9A83DB1D,BS BS 080M46,16.0,217.0,230.0,Heat-treatment steel,625.0,340.0,206000,80000,0.3,7860,1300.0,False
14F96F25166A42439BF253A0A93F9800,BS BS 060A47,14.0,217.0,230.0,Hardening steel,700.0,400.0,206000,80000,0.3,7860,1300.0,False
1B7045AE71C94EE2B973B0A0ADA74EE6,BS BS 080M50,15.0,217.0,230.0,Heat-treatment steel,625.0,360.0,206000,80000,0.3,7860,1300.0,False
2B20E451315B4505A031289E09F6FD98,BS BS 060A57,14.0,217.0,230.0,Hardening steel,775.0,450.0,206000,80000,0.3,7860,1300.0,False
293F1DF9DBA846C5BB5383CDD2A4F051,BS BS 070M55,14.0,217.0,230.0,Heat-treatment steel,775.0,450.0,206000,80000,0.3,7860,1300.0,False
5A4FCD16440844BCAA6F86F6F2ED5CE8,BS BS 150M19,18.0,217.0,230.0,Heat-treatment steel,550.0,325.0,206000,80000,0.3,7860,1300.0,False
81E6CA9AA5EA4282A2C35356AA77190F,BS BS 251A58 heat treated,6.0,217.0,230.0,Spring steel,1252.5,867.5,206000,80000,0.3,7860,1300.0,False
38BA4687674943F88E69AADF4B11C03A,BS BS 530A36,17.0,217.0,230.0,Heat-treatment steel,700.0,510.0,206000,80000,0.3,7860,1300.0,False
A573913C110948EEB6A81946B4922E5D,BS BS 530M40 heat treated,15.0,217.0,230.0,Heat-treatment hardening steel,775.0,570.0,206000,80000,0.3,7860,1300.0,False
BC178276A1D54F8EA3B4617E9D08F77C,BS BS 530M40 face hardened,13.0,217.0,230.0,Heat-treatment hardening steel,850.0,665.0,206000,80000,0.3,7860,1300.0,False
04BED8AD04184C4BA75D239F030C4665,BS BS 525A60 heat treated,6.0,217.0,230.0,Spring steel,1252.5,867.5,206000,80000,0.3,7860,1300.0,False
4AE1DD81FC064300B3EC6A0C4AB9A93D,BS BS 708A25,13.0,217.0,230.0,Heat-treatment steel,850.0,665.0,206000,80000,0.3,7860,1300.0,False
23D76C96B0EE4AD68298AFAF51A8E4B4,BS BS 708A37,13.0,217.0,230.0,Heat-treatment steel,850.0,665.0,206000,80000,0.3,7860,1300.0,False
456E757EF05D47D4A15AA19E2000A21D,BS BS 708M40 heat treated,13.0,217.0,230.0,Heat-treatment hardening steel,850.0,665.0,206000,80000,0.3,7860,1300.0,False
1012817F644D41CFB9913D6830C79CEA,BS BS 708M40 face hardened,12.0,217.0,230.0,Heat-treatment hardening steel,925.0,740.0,206000,80000,0.3,7860,1300.0,False
8D4AADB71DE54BA1B321B6976432F2D4,BS BS 735A51 heat treated,6.0,217.0,230.0,Spring steel,1252.5,867.5,206000,80000,0.3,7860,1300.0,False
6FEC26ACDFAB4904AE30C09EF84E4C8E,BS BS 905M39 nitrided,15.0,217.0,230.0,Nitrided steel,775.0,570.0,206000,80000,0.3,7860,1300.0,False
0F9770F3EA654AD384F5041C9D10373D,BS BS 722M22,13.0,217.0,230.0,Heat-treatment steel,850.0,665.0,206000,80000,0.3,7860,1300.0,False
EDED3AECAEF7435C8F87718F355C13C4,BS BS 722M24 nitrided,13.0,217.0,230.0,Nitrided steel,850.0,685.0,206000,80000,0.3,7860,1300.0,False
07747B01E7EA411FA26300F4511B9D2B,BS BS 817M40 heat treated,11.0,217.0,230.0,Heat-treatment steel,1075.0,867.5,206000,80000,0.3,7860,1300.0,False
ABD4A0740F21403FAC2247080232062C,BS BS 403S17,20.0,217.0,230.0,Heat-resisting stainless steel,420.0,245.0,206000,80000,0.3,7860,1300.0,False
C13F709B439946F98FA84910E588F615,BS BS 410S21,15.0,217.0,230.0,Stainless steel,550.0,340.0,206000,80000,0.3,7860,1300.0,False
BF4AE013B68C4138A3132DCCF768DA22,BS BS 420S37,11.0,217.0,230.0,Stainless steel,700.0,490.0,206000,80000,0.3,7860,1300.0,False
22EA81A0B1904D9CA5207F4733E87A14,BS BS 430S17,20.0,217.0,230.0,Stainless steel,430.0,245.0,206000,80000,0.3,7860,1300.0,False
A70E929E35A4473F886D61E2373D5331,BS BS 401S45,14.0,217.0,230.0,Heat-resistant steel,900.0,685.0,206000,80000,0.3,7860,1300.0,False
7286C586786C46C1BB6AF87F846A700F,BS BS 431S29,11.0,217.0,230.0,Stainless steel,850.0,635.0,206000,80000,0.3,7860,1300.0,False
42AFC27D7763421DA2513E58C7948D3E,BS BS 304S15,37.0,217.0,230.0,Stainless steel,480.0,195.0,206000,80000,0.3,7860,1300.0,False
DE04F22800C443C580B4D2158A0B4DB0,BS BS 303S31,37.0,217.0,230.0,Stainless steel,510.0,190.0,206000,80000,0.3,7860,1300.0,False
72B583C497E74CAF8165DC5D1B1812ED,BS BS 321S31,37.0,217.0,230.0,Stainless steel,490.0,195.0,206000,80000,0.3,7860,1300.0,False
0D90EDA85A5F4EB08749068A009B58BB,BS BS 304S11,37.0,217.0,230.0,Stainless steel,480.0,180.0,206000,80000,0.3,7860,1300.0,False
5A8104E593A84702AAF43A589C484DD1,BS BS 310S31,37.0,217.0,230.0,Heat-resistant steel,510.0,205.0,206000,80000,0.3,7860,1300.0,False
A796DA2908F54745921497E0D127941E,BS BS 316S11,37.0,217.0,230.0,Heat-resisting stainless steel,490.0,190.0,206000,80000,0.3,7860,1300.0,False
CBDE813232064B41997A3C2F745A9455,BS BS 316S31,37.0,217.0,230.0,Stainless steel,510.0,205.0,206000,80000,0.3,7860,1300.0,False
4680262FEB4A4FC8A8C3CB694A3ACD13,BS BS 349S54,8.0,217.0,230.0,Heat-resistant steel,950.0,580.0,206000,80000,0.3,7860,1300.0,False
C18AF1D1F41147888EFD60CB0062549F,BS Grey cast iron,12.0,217.0,230.0,Grey cast iron,150.0,150.0,85000,34000,0.26999999999999996,7160,1300.0,False
C18AF1D1F41147888EFD60CB0062549F,BS Grey cast iron,12.0,217.0,230.0,Grey cast iron,200.0,200.0,85000,34000,0.26999999999999996,7160,1300.0,False
C18AF1D1F41147888EFD60CB0062549F,BS Grey cast iron,12.0,217.0,230.0,Grey cast iron,250.0,250.0,85000,34000,0.26999999999999996,7160,1300.0,False
C18AF1D1F41147888EFD60CB0062549F,BS Grey cast iron,12.0,217.0,230.0,Grey cast iron,300.0,300.0,85000,34000,0.26999999999999996,7160,1300.0,False
C18AF1D1F41147888EFD60CB0062549F,BS Grey cast iron,12.0,217.0,230.0,Grey cast iron,350.0,350.0,85000,34000,0.26999999999999996,7160,1300.0,False
AFADC0227D134D729262951DB0321342,BS Nodular cast iron,12.0,217.0,230.0,Nodular cast iron,500.0,320.0,169000,70000,0.26999999999999996,7160,1300.0,False
AFADC0227D134D729262951DB0321342,BS Nodular cast iron,12.0,217.0,230.0,Nodular cast iron,600.0,370.0,169000,70000,0.26999999999999996,7160,1300.0,False
AFADC0227D134D729262951DB0321342,BS Nodular cast iron,12.0,217.0,230.0,Nodular cast iron,700.0,420.0,169000,70000,0.26999999999999996,7160,1300.0,False
AFADC0227D134D729262951DB0321342,BS Nodular cast iron,12.0,217.0,230.0,Nodular cast iron,800.0,480.0,169000,70000,0.26999999999999996,7160,1300.0,False
A7AF53FD316149678711552C14012834,BS Malleable cast iron,4.0,217.0,230.0,Malleable cast iron,400.0,180.0,160000,64000,0.27,7160,1300.0,False
A7AF53FD316149678711552C14012834,BS Malleable cast iron,4.0,217.0,230.0,Malleable cast iron,500.0,260.0,160000,64000,0.27,7160,1300.0,False
D7661E1A858C4AB6B0066BB624C7D3FD,CSN CSN 10370,12.0,217.0,230.0,Structural steel,350.0,200.0,206000,80000,0.3,7860,1300.0,False
752BBEB335E749FB934A6538F7B65D41,CSN CSN 11110,24.0,217.0,230.0,Free-cutting steel,400.0,226.0,206000,80000,0.3,7860,1300.0,False
BABA28E25972478490DECA95179DBB2D,CSN CSN 11110 normalized,8.0,217.0,230.0,Free-cutting steel,471.0,373.0,206000,80000,0.3,7860,1300.0,True
3A16734656314656A39D15FB6C5ACB13,CSN CSN 11120,22.0,217.0,230.0,Free-cutting steel,400.0,255.0,206000,80000,0.3,7860,1300.0,True
370F0432806344DCBBA8BB75DDCC91F4,CSN CSN 11140 normalized,6.0,217.0,230.0,Free-cutting steel,660.0,520.0,206000,80000,0.3,7860,1300.0,False
1D63EED662084277BD79644AD7C7B12B,CSN CSN 11301,31.0,217.0,230.0,Free-drawing steel,280.0,200.0,206000,80000,0.3,7860,1300.0,False
854EF13992D046A9ADD93B0D1D4DAA46,CSN CSN 11305,36.0,217.0,230.0,Free-drawing steel,290.0,215.0,206000,80000,0.3,7860,1300.0,False
B4D9F92FAFC2476A8EDC9AE6BF5E440E,CSN CSN 11321,29.0,217.0,230.0,Free-drawing steel,280.0,200.0,206000,80000,0.3,7860,1300.0,False
6D78A3206DDC4526AF8DB6258EBC29E9,CSN CSN 11343,30.0,217.0,230.0,Structural steel,330.0,195.0,206000,80000,0.3,7860,1300.0,False
4D6AEBE5539340DCA0795CE8F15B4292,CSN CSN 11353,24.0,217.0,230.0,Structural steel,340.0,225.0,206000,80000,0.3,7860,1300.0,False
