Std,ID,Material,Heat treatment,Su,Sy,A5,Bhn,E,G,mu,Ro,pH,Desc,HV,Strength_Hardness,Strength_Ductility,Strength_Weight,Strength_Hardness_Rank,Strength_Ductility_Rank,Strength_Weight_Rank
ANSI,D15269446FEB40C29A5E661991D4DBB0,Steel SAE 8660,tempered at 800 F,1252.5,867.5,13.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,16282.5,0.15935114503816794,1.0,81.0,6.0
ANSI,B75417F6D216424D9AF09771B2C39A85,Steel SAE 8740,normalized,929.0,607.0,16.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.28110599078341,14864.0,0.11819338422391858,35.0,117.0,62.0
ANSI,32D908D930EC4DA3889F7D26D7E72E31,Steel SAE 8740,annealed,695.0,415.0,22.2,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.2027649769585254,15429.0,0.08842239185750636,88.0,102.0,164.0
ANSI,0B638593127147AAB0EA387D1DFCC653,Steel SAE 8740,tempered at 400 F,1252.5,867.5,10.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,12525.0,0.15935114503816794,1.0,176.0,6.0
ANSI,ACEBB80CDC354F8BBF91798E38C663BF,Steel SAE 9255,normalized,933.0,579.0,19.7,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.299539170506913,18380.1,0.11870229007633588,32.0,35.0,58.0
ANSI,98B29985B2BF47A8BDB224B16BFCEBDD,Steel SAE 9255,annealed,774.0,486.0,21.7,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.5668202764976957,16795.8,0.0984732824427481,67.0,64.0,124.0
ANSI,AB075783A9CC46C7A8F374F08BBB7357,Steel SAE 9255,tempered at 400 F,1252.5,867.5,1.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,1252.5,0.15935114503816794,1.0,664.0,6.0
ANSI,85C5BB31FDEC427E8300403ED6E64D9C,Steel SAE 9260,tempered at 800 F,1252.5,867.5,8.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,10020.0,0.15935114503816794,1.0,288.0,6.0
ANSI,05FFFC93A5EB4E2A954734D2738D4CB8,Steel SAE 9310,normalized,907.0,571.0,18.8,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.179723502304148,17051.600000000002,0.11539440203562341,38.0,58.0,68.0
ANSI,985D533CFF4B4019B57BE92CB46A9C2C,Steel SAE 9310,annealed,820.0,440.0,17.3,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.7788018433179724,14186.0,0.10432569974554708,57.0,137.0,99.0
ANSI,511DB36A18F840F493E796205FB3375F,Steel SAE 30201,annealed,793.0,379.0,37.0,217.0,193000,140000,0.3,8030,1300.0,stainless,230.0,3.654377880184332,29341.0,0.0987546699875467,60.0,1.0,121.0
ANSI,C820422DF6594CE48208EE78C63F88C3,Steel SAE 30201,1/4-hard,862.0,517.0,20.0,217.0,193000,140000,0.3,8030,1300.0,stainless,230.0,3.9723502304147464,17240.0,0.10734744707347448,46.0,55.0,91.0
ANSI,082215F3E66545348DCC7F2A8D2D29E0,Steel SAE 30201,1/2-hard,1034.0,758.0,10.0,217.0,193000,140000,0.3,8030,1300.0,stainless,230.0,4.764976958525345,10340.0,0.12876712328767123,17.0,271.0,36.0
